Gene	Tau	Classification	Specific_parts
Glyma.01G067100	0.5373235800129218	Broad	NA
Glyma.01G067300	0.6511185501328507	Broad	NA
Glyma.01G067600	0.5130774242377878	Broad	NA
Glyma.01G067900	0.23907047754942187	Broad	NA
Glyma.01G068000	0.29103397046063434	Broad	NA
Glyma.01G068200	0.7098292855794202	Broad	NA
Glyma.01G068600	0.2565311297003798	Broad	NA
Glyma.01G068800	0.3835641179775393	Broad	NA
Glyma.01G068900	0.6071848118218038	Broad	NA
Glyma.01G069000	0.7158395683615255	Broad	NA
Glyma.01G069500	0.514579909567736	Broad	NA
Glyma.01G069600	0.34575645370687585	Broad	NA
Glyma.01G070150	0.4191426972365993	Broad	NA
Glyma.01G070300	0.41597466617922296	Broad	NA
Glyma.01G070400	0.6327316142415805	Broad	NA
Glyma.01G070700	0.1936152868970381	Broad	NA
Glyma.01G071300	0.10223201110882967	Broad	NA
Glyma.01G071400	0.27593179749856417	Broad	NA
Glyma.01G071700	0.5812032521066641	Broad	NA
Glyma.01G072000	0.16534408077381754	Broad	NA
Glyma.01G072900	0.44947757621985707	Broad	NA
Glyma.01G072950	0.42106518104519397	Broad	NA
Glyma.01G073000	0.33239816399414324	Broad	NA
Glyma.01G073400	0.4798121858789252	Broad	NA
Glyma.01G074000	0.2953517982854981	Broad	NA
Glyma.01G074400	0.3139638767275414	Broad	NA
Glyma.01G074500	0.5696650031250644	Broad	NA
Glyma.01G074600	0.6082746730964249	Broad	NA
Glyma.01G074700	0.2529876275416487	Broad	NA
Glyma.01G074800	0.5797681730526348	Broad	NA
Glyma.01G075100	0.5446798732267312	Broad	NA
Glyma.01G075300	0.3242104345639723	Broad	NA
Glyma.01G075400	0.25982721356502686	Broad	NA
Glyma.01G076000	0.6434885686945611	Broad	NA
Glyma.01G076100	0.5465227190100345	Broad	NA
Glyma.01G076200	0.8131443526220432	Broad	NA
Glyma.01G076900	0.7892126074573373	Broad	NA
Glyma.01G077000	0.8423088111389435	Broad	NA
Glyma.01G077100	0.7003089652903148	Broad	NA
Glyma.01G077200	0.23262797228940651	Broad	NA
Glyma.01G077300	0.3948922738477294	Broad	NA
Glyma.01G077400	0.2568096053301685	Broad	NA
Glyma.01G077600	0.3105196135122734	Broad	NA
Glyma.01G077900	0.2827351463919356	Broad	NA
Glyma.01G078200	0.6332638585833736	Broad	NA
Glyma.01G078700	0.7276250580609135	Broad	NA
Glyma.01G078800	0.7283258595719185	Broad	NA
Glyma.01G079100	0.5115850725617398	Broad	NA
